,0,1
478,43.0,32.8
479,50.0,31.0
480,32.0,21.75
481,30.0,24.14
482,61.0,26.57
483,38.0,21.0
484,43.0,27.29
485,38.0,25.11
486,35.0,22.1
487,30.0,17.2
488,38.0,19.11
489,58.0,52.33
490,57.0,33.83
491,24.0,12.69
492,46.0,25.57
493,45.0,29.83
494,49.0,24.14
495,47.0,25.12
496,40.0,25.62
497,50.0,27.0
498,40.0,21.56
499,43.0,22.75
500,71.0,35.4
501,42.0,25.17
502,27.0,19.88
503,42.0,21.1
504,33.0,21.22
505,25.0,16.0
506,28.0,19.8
507,18.0,9.83
508,20.0,12.4
509,38.0,27.67
510,77.0,24.1
511,24.0,12.54
512,21.0,13.8
513,42.0,24.0
514,47.0,24.11
515,28.0,18.45
516,34.0,17.0
517,53.0,31.67
518,34.0,19.82
519,20.0,11.62
520,43.0,23.43
521,51.0,28.67
522,32.0,19.6
523,43.0,23.25
524,43.0,23.33
525,50.0,26.83
526,20.0,12.33
527,48.0,21.62
528,44.0,19.5
529,30.0,17.46
530,26.0,13.11
531,19.0,12.0
532,33.0,20.75
533,29.0,14.75
534,26.0,17.9
535,51.0,30.17
536,37.0,24.43
537,28.0,14.62
538,27.0,16.46
539,26.0,20.22
540,43.0,22.22
541,39.0,21.7
542,35.0,20.5
543,64.0,17.38
544,41.0,27.33
545,23.0,11.94
546,39.0,26.86
547,43.0,14.67
548,31.0,16.7
549,42.0,27.67
550,28.0,16.67
551,33.0,16.3
552,37.0,21.7
553,31.0,19.6
554,35.0,19.89
555,45.0,25.43
556,34.0,25.0
557,37.0,16.5
558,35.0,25.12
559,22.0,13.08
560,17.0,9.25
561,34.0,22.6
562,32.0,25.0
563,25.0,15.38
564,25.0,14.59
565,20.0,13.37
566,33.0,14.67
567,77.0,33.71
568,31.0,18.0
569,54.0,25.62
570,35.0,24.88
571,39.0,20.22
572,29.0,14.57
573,33.0,24.43
574,124.0,67.0
575,53.0,30.43
576,32.0,21.1
577,48.0,27.67
578,89.0,33.0
579,73.0,45.5
580,48.0,25.75
581,27.0,12.64
582,46.0,30.17
583,29.0,19.67
584,34.0,19.55
585,26.0,15.64
586,108.0,40.83
587,28.0,17.09
588,28.0,19.9
589,36.0,28.5
590,41.0,17.58
591,28.0,14.29
592,59.0,23.75
593,30.0,23.14
594,22.0,13.33
595,55.0,22.62
596,42.0,23.89
597,41.0,23.22
598,40.0,24.0
599,35.0,24.88
600,58.0,32.0
601,50.0,29.29
602,42.0,31.67
603,42.0,23.71
604,25.0,15.09
605,22.0,16.73
606,34.0,26.0
607,19.0,9.25
608,24.0,14.07
609,38.0,28.43
610,37.0,23.33
611,51.0,28.43
612,54.0,32.43
613,41.0,24.75
614,25.0,14.82
615,27.0,15.33
616,43.0,25.88
617,30.0,16.58
618,42.0,28.5
619,38.0,21.78
620,57.0,34.6
621,30.0,21.12
622,41.0,24.75
623,24.0,16.64
624,49.0,22.88
625,35.0,20.7
626,34.0,16.73
627,28.0,19.45
628,38.0,25.38
629,38.0,21.7
630,47.0,25.88
631,36.0,25.44
